Type,kittiSeq,vehicleId,valSeqNo,Augmentation,Seq Loss
Training,84,14,64,False,0.4603553390593274
Training,84,14,65,False,0.6517766952966368
Training,84,48,69,False,0.8017766952966369
Training,5,31,77,False,1.035738832105943
Training,9,16,82,False,0.7267766952966369
Training,6,12,97,False,1.1067781457055728
Training,10,0,98,False,0.5560660171779821
Training,10,0,99,False,1.0181980515339464
Training,10,0,100,False,0.6724873734152916
Training,10,0,101,False,0.43090169943749473
Training,18,1,105,False,0.8699747468305832
Training,18,2,106,False,1.0613961030678927
Training,18,2,107,False,1.1553300858899107
Training,18,2,108,False,0.4560660171779821
Training,18,2,109,False,0.05
Training,18,3,110,False,0.657842712474619
Training,18,3,111,False,0.4914213562373095
Training,18,3,112,False,0.5103553390593274
Training,18,3,113,False,0.882842712474619
Training,18,6,114,False,0.6353553390593274
Training,18,16,115,False,0.4103553390593274
Training,3,0,120,False,0.8618996539788284
Training,3,1,121,False,0.7914213562373095
Training,7,11,124,False,0.8181980515339464
Training,11,0,138,False,0.9810660171779821
Training,11,0,139,False,0.5957106781186547
Training,11,0,140,False,0.7517766952966369
Training,11,0,141,False,0.7224873734152916
Training,11,28,145,False,0.675
Training,11,39,149,False,1.4807135789365264
Training,11,43,151,False,0.425
Training,11,51,153,False,0.8389087296526011
Training,15,2,154,False,1.1326783947341317
Training,15,18,156,False,0.6121320343559642
Training,19,42,159,False,0.7387444119121137
Training,19,63,161,False,0.9621320343559642
